ordinal,design_id,condition_id,realization_id,run_id,backend,hash_sha256,status,outcome_status,scenario,seed,frequency_hz,background_cs_m_s,medium_object_count,primary_object_type,primary_object_cs_m_s,primary_object_radius_m,primary_object_center_x_m,primary_object_center_z_m,primary_object_normal_angle_rad,primary_object_offset_m,geometry_family,direction_count,retained_direction_count,direction_support_type,solid_angle_sr,requested_in_plane_count,retained_in_plane_count,retained_in_plane_fraction,angular_entropy,angular_effective_bins,radial_entropy,radial_effective_bins,propagation_model,valid,run_directory,resolved_config_path,wavefield_sample_path,summary_path,validation_report_path,error_identifier,error_message
1,directional,directional,1,run_000001_2fb955643726,swsynth,2fb955643726f95b899451dee19fca70b6f0b46a016394fae505968105bd165a,skipped_completed,completed_valid,example_volumetric3d_field_regimes,8101,300,2,0,,NaN,NaN,NaN,NaN,NaN,NaN,homogeneous,1,1,full_sphere,12.5663706143592,0,1,1,NaN,NaN,NaN,NaN,plane_wave,NaN,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000001_2fb955643726,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000001_2fb955643726/config/resolved_config.json,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000001_2fb955643726/data/wavefield_sample.mat,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000001_2fb955643726/data/run_summary.json,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000001_2fb955643726/data/validation_report.json,,
2,intermediate,intermediate,1,run_000002_753ec0118cef,swsynth,753ec0118cef943c018b5030499c71b99fc067efdc3643d22be8de9b532b9bc5,skipped_completed,completed_valid,example_volumetric3d_field_regimes,8201,300,2,0,,NaN,NaN,NaN,NaN,NaN,NaN,homogeneous,16,16,full_sphere,12.5663706143592,0,1,0.0625,NaN,NaN,NaN,NaN,plane_wave,NaN,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000002_753ec0118cef,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000002_753ec0118cef/config/resolved_config.json,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000002_753ec0118cef/data/wavefield_sample.mat,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000002_753ec0118cef/data/run_summary.json,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000002_753ec0118cef/data/validation_report.json,,
3,diffuse,diffuse,1,run_000003_570b71a66b27,swsynth,570b71a66b27dd51618a2414b149a9cc5e27d6b2f8c7f06f1c78f1741dfa28c2,skipped_completed,completed_valid,example_volumetric3d_field_regimes,8301,300,2,0,,NaN,NaN,NaN,NaN,NaN,NaN,homogeneous,128,128,full_sphere,12.5663706143592,0,1,0.0078125,NaN,NaN,NaN,NaN,plane_wave,NaN,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000003_570b71a66b27,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000003_570b71a66b27/config/resolved_config.json,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000003_570b71a66b27/data/wavefield_sample.mat,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000003_570b71a66b27/data/run_summary.json,/Users/sara/local/shear-wave-simulation-framework/examples/swsynth/volumetric3d/campaign_field_regimes/outputs/example_volumetric3d_field_regimes/run_000003_570b71a66b27/data/validation_report.json,,
